,Ticker,volume
4596,PPL,2542662544.0
10022,WDC,2537152818.0
7102,STEM,2521781222.0
2321,HLN,2521110682.0
746,GFI,2515241931.0
6388,PSQ,2510438105.3999996
9253,PEP,2509569088.0
7908,SBSW,2502124769.0
3921,CNQ,2501460448.0
635,ZOM,2497614216.0
11072,KOLD,2490301922.0
9050,SPIB,2489291625.0
9899,PSNY,2487933298.0
6643,DJT,2486436242.0
6410,WW,2485531699.0
10627,AZN,2472496292.0
4332,ROIV,2466350520.0
3817,APLD,2462980400.0
10482,SCHG,2462490837.0
8184,MTCH,2461286999.0
10402,TDOC,2452683900.0
1806,ASHR,2446817196.0
6049,KR,2444210908.0
6421,UVXY,2438818559.08
10945,FIS,2438003006.0
776,AR,2433178006.0
2359,VLY,2431735678.0
3215,TMUS,2426818887.0
6772,ZIM,2425371724.0
10529,SHY,2422845877.0
7099,SPTL,2408848163.0
5327,FSM,2406161219.0
8155,D,2401662603.0
2140,SPDN,2397804461.0
9888,GLW,2390924143.0
9158,GSAT,2378031132.0
6912,VNQ,2373756263.0
10381,PM,2372244330.0
8744,COTY,2368553759.0
7238,VTEB,2368027447.0
1784,BAX,2364940503.0
7732,RDFN,2355448193.0
2997,CGC,2351230740.4999995
592,W,2337526803.0
10741,HTZ,2335796175.0
9130,NLY,2333674154.0
11059,BE,2315264600.0
174,IVV,2310364418.0
6268,CELH,2307962312.0
7530,OPK,2306614233.0
7309,YINN,2301012938.0
6990,ENB,2299343298.0
3936,LILM,2292941253.0
1435,AEO,2290842932.0
10263,KIM,2289514763.0
1186,OWL,2281162128.0
6561,VOO,2280634309.0
488,ESPR,2277742614.0
5544,SU,2274601655.0
1609,SHEL,2270081415.0
5938,OPTT,2266310824.0
2942,CRWD,2265103626.0
1221,CNP,2265050791.0
382,IVZ,2257208085.0
5305,DOW,2252969236.0
932,TCOM,2245177131.0
4074,SJNK,2237726594.0
8959,SYF,2237263459.0
5437,CCJ,2234663092.0
8498,XLY,2231367792.0
3433,CARR,2228714741.0
231,VCSH,2225095678.0
5736,MMM,2224611340.8839993
1684,ALLY,2224238351.0
3957,JCI,2221323612.0
7661,EPD,2218032341.0
3723,PGX,2215921774.0
6477,JWN,2215537917.0
1398,ONON,2211714775.0
2599,BK,2207149800.0
2640,WOLF,2204395466.0
9564,JPST,2202255882.0
6902,HMY,2201823246.0
7898,TGTX,2191470372.0
1955,CAG,2188367600.0
8313,CL,2188069252.0
4529,IBRX,2176513534.0
9117,MGM,2172839488.0
1600,SO,2160451735.0
7328,IBM,2158582981.0
5473,BTI,2157212448.0
1110,TGT,2149618969.0
1765,BX,2148512935.0
4006,TNXP,2147717966.6967
6929,MCHI,2145540356.0
1126,PENN,2145420163.0
5913,PANW,2139302679.0
3774,DDOG,2130618020.0
3107,RXRX,2126793051.0
1018,CFLT,2118926192.0
5304,VIPS,2116643048.0
3815,BRFS,2112462314.0
1808,MRNA,2108621076.0
6674,NI,2106302028.0
9606,CPRT,2106170154.0
3964,RGTI,2106021145.0
5680,IGV,2096886570.0
5047,NXE,2095709184.0
7379,QYLD,2095200894.0
6066,TTD,2089138209.0
4663,TPET,2085763962.0
3294,GT,2083021625.0
1627,FLEX,2079792754.0
10826,CIG,2066536795.4980004
10832,EW,2065793984.0
10139,ALIT,2065699850.0
8694,BITI,2049056486.0
6343,USFR,2048185242.0
4219,ATUS,2045687918.0
4320,MOS,2044651679.0
2102,LU,2041590143.5
8688,ENPH,2033277448.0
2314,GEN,2033086272.0
5301,LUNR,2029224976.0
5793,PFF,2025777251.0
3279,QID,2025401751.2
4641,MBIO,2025279464.9997
1421,PAGS,2021276531.0
5739,WOOF,2019087214.0
1642,NET,2013180045.0
5195,DASH,2011026723.0
3923,BLNK,2009387829.0
3661,PAAS,2008913235.0
2484,QLD,2008125259.0
3148,AIG,2006939045.0
3649,LESL,2006596875.0
9204,IP,2002306247.0
6949,IJR,1992183706.0
801,XOP,1989755053.0
8230,SGMO,1987383116.0
2493,COMP,1957156256.0
4034,PSTG,1957048151.0
2367,MET,1956051482.0
6032,AKTS,1954795175.0
5111,SONY,1951324096.0
10145,PDBC,1951107216.0
406,IPG,1949534471.0
5700,ADT,1931507484.0
7101,GOTU,1918439941.0
584,NVDQ,1917133060.6665
7282,GIS,1912036868.0
4282,EXK,1909821135.0
202,SHLS,1909004874.0
8258,RITM,1908275345.0
8711,USO,1902429885.0
10271,SSO,1901636962.0
7760,PSLV,1899541659.0
5369,ABR,1892636303.0
6835,CRK,1891188364.0
10228,CTSH,1891112676.0
10878,NOV,1883668351.0
5589,JEPI,1882607301.0
